"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
143,"$50,000 under $75,000",155896
143,"$75,000 under $100,000",132998
143,"$100,000 under $200,000",318886
143,"$200,000 or more",491305
,,
145,Falls County,"370,306"
145,Under $1,-7238
145,"$1 under $10,000",4100
145,"$10,000 under $25,000",25400
145,"$25,000 under $50,000",66645
145,"$50,000 under $75,000",64535
145,"$75,000 under $100,000",51475
145,"$100,000 under $200,000",95999
145,"$200,000 or more",69390
,,
147,Fannin County,"1,032,112"
147,Under $1,-21715
147,"$1 under $10,000",8396
147,"$10,000 under $25,000",47598
147,"$25,000 under $50,000",143672
147,"$50,000 under $75,000",145065
147,"$75,000 under $100,000",130894
147,"$100,000 under $200,000",307754
147,"$200,000 or more",270448
,,
149,Fayette County,"1,159,919"
149,Under $1,-26092
149,"$1 under $10,000",6964
149,"$10,000 under $25,000",35174
149,"$25,000 under $50,000",102517
149,"$50,000 under $75,000",111081
149,"$75,000 under $100,000",110747
149,"$100,000 under $200,000",313054
149,"$200,000 or more",506474
,,
151,Fisher County,"125,421"
151,Under $1,-2217
151,"$1 under $10,000",790
151,"$10,000 under $25,000",4783
151,"$25,000 under $50,000",13168
151,"$50,000 under $75,000",14344
151,"$75,000 under $100,000",14752
151,"$100,000 under $200,000",37073
151,"$200,000 or more",42728
,,
153,Floyd County,"142,804"
153,Under $1,-3330
153,"$1 under $10,000",1430
153,"$10,000 under $25,000",7852
153,"$25,000 under $50,000",23783
153,"$50,000 under $75,000",19394
153,"$75,000 under $100,000",15532
153,"$100,000 under $200,000",36862
153,"$200,000 or more",41281
,,
155,Foard County,"28,494"
155,Under $1,-557
155,"$1 under $10,000",253
155,"$10,000 under $25,000",1490
155,"$25,000 under $50,000",4352
155,"$50,000 under $75,000",3979
155,"$75,000 under $100,000",4176
155,"$100,000 under $200,000",8193
155,"$200,000 or more",6608
,,
157,Fort Bend County,"44,649,351"
157,Under $1,-425655
157,"$1 under $10,000",197885
157,"$10,000 under $25,000",1143743
157,"$25,000 under $50,000",2760829
157,"$50,000 under $75,000",3209799
157,"$75,000 under $100,000",3023948
157,"$100,000 under $200,000",10940782
157,"$200,000 or more",23798020
,,
159,Franklin County,"318,199"
159,Under $1,-5784
159,"$1 under $10,000",2772
159,"$10,000 under $25,000",15647
159,"$25,000 under $50,000",43107
159,"$50,000 under $75,000",37682
159,"$75,000 under $100,000",42635
