,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp
134,King County,65.53999999999999,65.3,0.9502631214563655,64.2,66.6
135,Kinney County,72.16,72.6,1.361249426078851,70.7,73.8
136,Kleberg County,74.97999999999999,75.3,1.0779610382569464,73.4,76.0
137,Knox County,65.92,65.8,1.1166915420114945,64.3,67.2
138,La Salle County,73.64,74.1,1.4842506526863912,72.1,75.6
139,Lamar County,64.97999999999999,64.8,0.7694153624668526,64.0,65.9
140,Lamb County,60.0,60.2,0.9924716620639624,58.9,61.4
141,Lampasas County,67.94,68.0,1.1696153213770788,66.2,69.0
142,Lavaca County,72.5,73.0,1.1683321445547907,71.2,73.7
143,Lee County,70.26,70.7,1.25019998400257,68.6,71.4
144,Leon County,67.86,68.4,1.0382677881933944,66.5,68.8
145,Liberty County,70.48,71.0,0.9959919678390949,69.4,71.4
146,Limestone County,67.82000000000001,68.0,1.0545141061171277,66.5,69.0
147,Lipscomb County,59.2,59.0,1.1510864433221344,58.2,61.1
148,Live Oak County,73.06,73.7,1.2095453691366838,71.7,74.2
149,Llano County,68.8,68.9,1.1853269591129696,67.0,69.9
